,date,lower_2_5,lower_25,forecast,upper_75,upper_97_5,macroregion,prob_high,prob_low,HT,LT,HTinc,LTinc
0,2024-01-14,193.20210020057857,317.35293939709663,385.0249834358692,433.7381706573069,520.1581128686664,3114,100.0,0.0,87.3743599854601,27.6568329336038,10.2940872904303,3.25841416684188
1,2024-01-21,235.95581423025578,333.8798137381673,402.64127515256405,452.52662897109985,551.2654176913201,3114,100.0,0.0,100.184505572577,28.0449468974689,11.8033258919932,3.30414015583141
2,2024-01-28,206.4600878348574,313.06959483772516,385.04219986498356,440.3031703084707,523.0910595878959,3114,100.0,0.0,129.039718230945,40.5411681731892,15.2029282231415,4.77639348774942
3,2024-02-04,232.95454514212906,333.8486475870013,404.425485804677,446.8932220712304,544.9787252955138,3114,100.0,0.0,144.04342750593,44.9956017962102,16.9706034654281,5.30119651408845
4,2024-02-11,210.6983992923051,319.3927625194192,382.52973426133394,423.0075971223414,524.4988587684928,3114,100.0,0.0,160.266169721394,48.1335976887132,18.8819001488479,5.67090226803976
5,2024-02-18,223.3320864662528,313.8406186364591,360.0706523284316,434.57787623628974,539.2516654357312,3114,98.0,0.0,167.590139429167,44.4998460534775,19.7447801000925,5.24278861397597
6,2024-02-25,172.4036142230034,249.85682666301727,296.8445524573326,331.99217207729816,384.4010114856063,3114,90.0,0.0,205.458659175072,49.0319243655944,24.2062931559661,5.7767394178475
7,2024-03-03,253.85566605255008,351.338273473084,421.52978740632534,478.161031100899,550.9060578420757,3114,77.0,0.0,343.540066008351,81.1675998869534,40.4744758970326,9.56283237473856
8,2024-03-10,189.5372117124498,304.13523195311427,343.7186498194933,398.77827633172274,472.90327344089735,3114,14.0,0.0,422.992522719037,90.561006749282,49.8352371656135,10.6695248896987
9,2024-03-17,232.45530953165144,330.919161811471,392.4189541488886,442.4900835379958,530.7437638007103,3114,23.0,0.0,445.395455992182,81.9073035078054,52.4746585097448,9.64998120928642
