,date,lower_2_5,lower_25,forecast,upper_75,upper_97_5,macroregion,prob_high,prob_low,HT,LT,HTinc,LTinc
0,2024-01-14,212.19798431359231,309.4927532598376,384.89125990122557,467.66855451092124,622.8360332563519,3111,99.0,0.0,141.645454963757,20.416371106947,16.9728778684973,2.44642211361313
1,2024-01-21,206.0904718372971,317.0599386282265,389.75812189280987,467.43018071353436,617.1671701289712,3111,91.0,0.0,241.456693321609,49.6051031629195,28.9329083473062,5.94400545964477
2,2024-01-28,220.87302022948862,326.91043688356876,393.2796907424927,478.51895854622126,614.1570072576402,3111,82.0,0.0,302.029828885112,50.0592549126661,36.191174645327,5.99842487030773
3,2024-02-04,218.6333499064669,334.3389651030302,400.62385181337595,507.3510970324278,637.5040531262754,3111,64.0,0.0,363.6983577606,62.2617532066121,43.5806980804515,7.4606074252417
4,2024-02-11,226.2735713439062,337.0321647375822,413.4376300573349,520.5743054747581,655.2328356906771,3111,53.0,0.0,400.989826542603,53.4374551685695,48.0492039378104,6.40322275368101
5,2024-02-18,223.67509544100614,341.46605275943875,407.8912496417761,500.4802909232676,655.742621706426,3111,41.0,0.0,436.60384825376,55.6714998571403,52.3167071984278,6.67092048998733
6,2024-02-25,234.59792353324593,328.2662464007735,402.1126273572445,493.39544194191694,644.0185871101916,3111,57.0,0.0,380.669144983781,48.6186260564673,45.6142479669976,5.82579936928935
7,2024-03-03,235.6483319228515,335.2359662614763,402.6985217034817,482.6078763976693,618.2739241711795,3111,72.0,0.0,353.378969547452,51.0880053616421,42.3441619991195,6.1216964269708
8,2024-03-10,232.3328773383051,333.8614933267236,397.33376916497946,472.06085719540715,599.493263207376,3111,84.0,0.0,292.332063884067,44.9628552840205,35.0291254923751,5.3877411848468
9,2024-03-17,239.2063888952136,320.9272648021579,374.9335906505585,452.59473951905966,580.2005350559948,3111,82.0,0.0,294.491533327293,33.4885284225948,35.2878871386984,4.01281285769343
