,date,lower_2_5,lower_25,forecast,upper_75,upper_97_5,macroregion,prob_high,prob_low,HT,LT,HTinc,LTinc
<<<<<<< HEAD
0,2024-01-14,0.0,77.97329741716385,121.67739666253328,167.20352980867028,234.47270251959543,3112,6.0,44.0,219.925832102389,110.934976614066,27.5478563799666,13.895688260288
1,2024-01-21,7.224509831517936,89.68239869177341,131.70547454804182,166.81563840061426,246.9410583257675,3112,4.0,31.0,229.981350114156,98.6822906006528,28.8074081268726,12.3609197824805
2,2024-01-28,15.978136074543002,103.11319096386433,145.25941655784845,186.6884594000876,263.35234345644704,3112,3.0,23.0,261.098994773607,97.5093440594192,32.705196748458,12.2139967832567
3,2024-02-04,35.06009793281555,115.73166647553444,161.05643283575773,203.2726200968027,284.8251003295183,3112,0.0,28.0,374.044563135408,120.145569979197,46.8527312433419,15.0494049509166
4,2024-02-11,57.30646326690912,142.03186917304993,178.31413785368204,231.7129059061408,311.32360261827705,3112,0.0,14.0,407.486977183595,117.239699529664,51.0417199146224,14.6854163233085
5,2024-02-18,83.0634742308408,156.521966625005,205.82489880919456,272.4995383247733,337.2307368718087,3112,0.0,23.0,497.947609107645,154.605949111888,62.3727967256655,19.365903681746
6,2024-02-25,92.19408944249153,178.33587742224336,225.087207891047,292.41883715987206,387.0266431428492,3112,0.0,21.0,513.493583784238,162.240435172261,64.3200817425433,20.3221975537096
7,2024-03-03,131.60742069110276,194.73462058603764,241.9846549257636,322.6292232349515,430.6071936205029,3112,0.0,45.0,666.670857617007,232.735686386326,83.5070299053921,29.1524156201831
8,2024-03-10,149.00520992949606,221.67265003919601,270.96046129614115,350.91827587783337,478.37950168102964,3112,0.0,41.0,858.162685980361,249.367655350911,107.493249874472,31.2357320181365
9,2024-03-17,165.72375572659075,231.36226128041744,290.0812859684229,364.2893809080124,490.1735987350343,3112,0.0,39.0,1023.48567717203,264.844128260579,128.201567647413,33.1743112605489
=======
0,2024-01-07,0.0,27.036177461966872,66.72484885901213,99.77450577775016,161.83044130895286,3112,2.0,63.0,173.840204250658,88.4670883997786,21.7751818146203,11.0813660327828
1,2024-01-14,0.0,41.21815193630755,82.69471203815192,113.40468469122425,201.50670338887716,3112,1.0,73.0,219.925832102389,110.934976614066,27.5478563799666,13.895688260288
2,2024-01-21,0.0,46.68024931708351,76.73734128568321,108.01408242294565,191.26477099014437,3112,1.0,64.0,229.981350114156,98.6822906006528,28.8074081268726,12.3609197824805
3,2024-01-28,0.0,32.30179597623646,75.73160692490637,103.357928681653,188.7136202241294,3112,0.0,72.0,261.098994773607,97.5093440594192,32.705196748458,12.2139967832567
4,2024-02-04,38.0644841358997,92.59331124974415,115.9615220669657,139.44605929870158,243.4358139356593,3112,0.0,52.0,374.044563135408,120.145569979197,46.8527312433419,15.0494049509166
5,2024-02-11,37.76472509773448,71.71869052620605,100.49035742506385,140.7070927368477,202.87892728233703,3112,0.0,65.0,407.486977183595,117.239699529664,51.0417199146224,14.6854163233085
6,2024-02-18,49.49065867569298,86.82702219346538,111.69733210466802,141.37645317893475,216.59354775818062,3112,0.0,83.0,497.947609107645,154.605949111888,62.3727967256655,19.365903681746
7,2024-02-25,45.20949058723636,86.47807873226702,112.46113010589033,143.12783594056964,219.28079110588868,3112,0.0,84.0,513.493583784238,162.240435172261,64.3200817425433,20.3221975537096
8,2024-03-03,83.23373608505354,122.23341565299779,147.4860619045794,178.4002543380484,255.3594755815342,3112,0.0,93.0,666.670857617007,232.735686386326,83.5070299053921,29.1524156201831
9,2024-03-10,97.90277148541064,145.42099123075604,165.88396788574755,184.4400874916464,247.69398252451774,3112,0.0,97.0,858.162685980361,249.367655350911,107.493249874472,31.2357320181365
>>>>>>> a2b9f2e9bfd89b3a8c0701ca921b14166b38a566
