,date,lower_2_5,lower_25,forecast,upper_75,upper_97_5,macroregion,prob_high,prob_low,HT,LT,HTinc,LTinc
0,2024-01-14,80.1494417052716,126.44777997583151,146.49749299138784,171.9565365202725,220.44680459350343,3104,100.0,0.0,36.2703313847953,11.3502392252406,8.89259873459875,2.78280123500828
1,2024-01-21,85.34113033264875,134.75893961638212,157.24774387478828,184.86761612445116,239.51734353303902,3104,100.0,0.0,56.1329420600597,19.9074466507064,13.7624253894147,4.88081934011156
2,2024-01-28,101.01944155097009,151.68260467797518,176.2158413529396,197.14064691960812,238.36851081848144,3104,100.0,0.0,66.5772405998542,17.9923735825388,16.3231121113916,4.41129023209269
3,2024-02-04,111.74291055724025,161.91550981253386,185.0483462512493,209.78576977550983,250.06908634006973,3104,98.0,0.0,106.445612620829,27.601893365726,26.0978624665224,6.7673096066467
4,2024-02-11,126.40123496241868,180.9759562164545,204.04146847128868,222.55344182252884,261.4808019652963,3104,97.0,0.0,125.893381116893,30.5893664774805,30.8659799585882,7.49976499370648
5,2024-02-18,129.886303999275,187.03993747383356,201.22579300403595,224.21513977646828,257.2422225348651,3104,80.0,0.0,183.78886443657,49.0208912103087,45.060537384754,12.0187243540994
6,2024-02-25,141.3702600259334,191.3792351335287,215.51138198375702,238.2504972293973,267.4052872382104,3104,43.0,0.0,220.932400708774,55.9103604871121,54.1672246148351,13.7078538280761
7,2024-03-03,150.9070225574076,194.1548837274313,213.96317473053932,241.91900572925806,269.4402490295469,3104,26.0,0.0,241.439389213566,52.5209527579767,59.1950369635414,12.8768538969372
8,2024-03-10,142.8940864317119,189.54743885993958,208.0725814551115,229.77988696843386,265.11333289593455,3104,62.0,0.0,200.953152811955,61.6281552156627,49.2688013641459,15.1097173409393
9,2024-03-17,131.64144425466657,182.33021642267704,212.87117636203766,236.02221983671188,278.86780722141265,3104,13.0,0.0,257.36884007005,78.3756682597888,63.1005489652488,19.2157981959465
